no_compress,repo_id,num_tokens,batch_size,latency,tokens_per_second,gpu_memory_allocated_mb,gpu_peak_memory_usage_mb
compressed,Qwen/Qwen3-8B-FP8,1024,16,83.9813,195.09,8350.82,10827.26
original,Qwen/Qwen3-8B-FP8,1024,16,56.0392,292.37,9031.55,11507.98
